tagValue,count,Z-score,IQR_meth
good bands,22,0.02,True
demo,22,0.02,True
es pop mama,22,0.02,True
melodic metalcore,22,0.02,True
60's,22,0.02,True
in the chillwave family,22,0.02,True
death,22,0.02,True
neofolk,22,0.02,True
goth rock,22,0.02,True
bad day,22,0.02,True
norwegian black metal,21,0.01,True
approved by goku,21,0.01,True
top 20,21,0.01,True
life on mars,21,0.01,True
rockville ca,21,0.01,True
nasheed,21,0.01,True
approved by prince vegeta,21,0.01,True
turkish rock,21,0.01,True
2010s,21,0.01,True
groove,21,0.01,True
just makes you feel good,21,0.01,True
90s dance,21,0.01,True
boybands,21,0.01,True
rihanna,21,0.01,True
1984 songs,21,0.01,True
shoegazer,21,0.01,True
cocksucker,21,0.01,True
1968,21,0.01,True
female vocal,21,0.01,True
math metal,21,0.01,True
dance 90s,21,0.01,True
fav female singers,20,0.01,True
german hiphop,20,0.01,True
us,20,0.01,True
christina aguilera,20,0.01,True
psicodelia,20,0.01,True
the oc,20,0.01,True
jazzy,20,0.01,True
1980's,20,0.01,True
free jazz,20,0.01,True
1988,20,0.01,True
songs i sing with my mom,20,0.01,True
women,20,0.01,True
4ad,20,0.01,True
mariah carey,20,0.01,True
chill out,20,0.01,True
1986,20,0.01,True
girls names,20,0.01,True
new discovery,20,0.01,True
acid,20,0.01,True
pet shop boys,20,0.01,True
arena rock,20,0.01,True
male and female,20,0.01,True
melodic black metal,20,0.01,True
latin rock,20,0.01,True
pretty little liars,20,0.01,True
horror punk,19,-0.0,True
makes me wanna kick someones ass,19,-0.0,True
hello project,19,-0.0,True
big beat,19,-0.0,True
fucking amazing,19,-0.0,True
tambourine,19,-0.0,True
1994,19,-0.0,True
orchestral,19,-0.0,True
hey song youre so fucking cute,19,-0.0,True
haunting,19,-0.0,True
modern metal,19,-0.0,True
watched live,19,-0.0,True
harmonica blues,19,-0.0,True
broken-clash,19,-0.0,True
80s i like,19,-0.0,True
beautiful music,19,-0.0,True
totalmente foda,19,-0.0,True
guys i would fuck,19,-0.0,True
aussie,19,-0.0,True
bazarov,19,-0.0,True
horrorpunk,19,-0.0,True
girl groups,19,-0.0,True
boyband,19,-0.0,True
american artists,19,-0.0,True
japanese music,19,-0.0,True
europop,19,-0.0,True
contemporary jazz,19,-0.0,True
rhythmic noise,19,-0.0,True
instrumental blues,19,-0.0,True
romantica,19,-0.0,True
2003,19,-0.0,True
raven girls top 20,19,-0.0,True
britrock,19,-0.0,True
phoda,19,-0.0,True
finnish metal,19,-0.0,True
morning,19,-0.0,True
neo-electro,19,-0.0,True
80s metal,19,-0.0,True
pop-punk,19,-0.0,True
drinking,18,-0.01,True
united kingdom,18,-0.01,True
norway,18,-0.01,True
sixties,18,-0.01,True
vaguely homosexual,18,-0.01,True
cops,18,-0.01,True
60s pop,18,-0.01,True
these guys fucking rule,18,-0.01,True
female electronic,18,-0.01,True
nineties,18,-0.01,True
underground,18,-0.01,True
katy perry,18,-0.01,True
buy this,18,-0.01,True
inspirational,18,-0.01,True
life unexpected,18,-0.01,True
seen in concert,18,-0.01,True
very kvlt,18,-0.01,True
new album loves,18,-0.01,True
deconstruction,18,-0.01,True
beatiful,18,-0.01,True
fuck yeah,18,-0.01,True
songwriters,18,-0.01,True
1960's,18,-0.01,True
words are cheap to describe my love,18,-0.01,True
puta de mierda ojala y te mueras con un pinche dildo electrico atorado en tu ronosa pucha,18,-0.01,True
new,18,-0.01,True
dj gold,18,-0.01,True
xmas,18,-0.01,True
turntablism,18,-0.01,True
religion,18,-0.01,True
desert,18,-0.01,True
rainy day,18,-0.01,True
cybergrind,18,-0.01,True
titans,17,-0.01,True
choral,17,-0.01,True
slowcore,17,-0.01,True
loved tracks,17,-0.01,True
brooklyn,17,-0.01,True
blue-eyed soul,17,-0.01,True
1984,17,-0.01,True
ultimate rock ballads,17,-0.01,True
all time faves,17,-0.01,True
paramore,17,-0.01,True
latino,17,-0.01,True
days,17,-0.01,True
italian pop,17,-0.01,True
tamir,17,-0.01,True
1960s,17,-0.01,True
polecane,17,-0.01,True
crime,17,-0.01,True
best free stuff,17,-0.01,True
slow,17,-0.01,True
electro house,17,-0.01,True
avant-garde metal,17,-0.01,True
sweden,17,-0.01,True
japanese pop,17,-0.01,True
musica popular brasileira,17,-0.01,True
best bands,17,-0.01,True
australia,17,-0.01,True
ladytronica,17,-0.01,True
makes me cry,17,-0.01,True
sahara,17,-0.01,True
folk-rock,17,-0.01,True
lesser known yet streamable artists,17,-0.01,True
fashionably punctuated band,17,-0.01,True
crap,17,-0.01,True
music for my soul,17,-0.01,True
witch chill,17,-0.01,True
b-sides,17,-0.01,True
indierock,17,-0.01,True
seth cohen would listen to this,17,-0.01,True
music,17,-0.01,True
i love,17,-0.01,True
forever in heart,17,-0.01,True
great voice,17,-0.01,True
deutschland,16,-0.02,True
1980 songs,16,-0.02,True
italy,16,-0.02,True
chaotic hardcore,16,-0.02,True
funk rock,16,-0.02,True
a god on the earth,16,-0.02,True
1985 songs,16,-0.02,True
roots reggae,16,-0.02,True
miley cyrus,16,-0.02,True
bruno likes this song,16,-0.02,True
new jersey,16,-0.02,True
dazs favourites,16,-0.02,True
witch-clash,16,-0.02,True
terrorbanana,16,-0.02,True
techno brut,16,-0.02,True
wales,16,-0.02,True
spanish rock,16,-0.02,True
wake up,16,-0.02,True
smash it up,16,-0.02,True
mute records,16,-0.02,True
ethno,16,-0.02,True
countries,16,-0.02,True
absolute disco,16,-0.02,True
brit rock,16,-0.02,True
eurovision,16,-0.02,True
french pop,16,-0.02,True
1950s,16,-0.02,True
i am a party girl here is my soundtrack,16,-0.02,True
old school death metal,16,-0.02,True
70s pop,16,-0.02,True
uplifting,16,-0.02,True
i love dancing about to this like a complete and utter idiot,16,-0.02,True
under two minutes,16,-0.02,True
2004,16,-0.02,True
albums i own,16,-0.02,True
wake up song,16,-0.02,True
medieval,16,-0.02,True
neoclassical,16,-0.02,True
1970,16,-0.02,True
lastfm hipster artists,16,-0.02,True
tuareg,16,-0.02,True
greek,16,-0.02,True
swedish metal,16,-0.02,True
american punk,16,-0.02,True
rock ballad,16,-0.02,True
favourite albums,16,-0.02,True
songs to make florchuchizz cry,16,-0.02,True
david guetta,16,-0.02,True
drum n bass,16,-0.02,True
trashbag filled with vomit,15,-0.02,True
great covers,15,-0.02,True
upbeat,15,-0.02,True
gold,15,-0.02,True
eletropop,15,-0.02,True
addiction,15,-0.02,True
hellcats,15,-0.02,True
composers,15,-0.02,True
rock nacional,15,-0.02,True
futuremelon,15,-0.02,True
soundtrack of my childhood,15,-0.02,True
lunic,15,-0.02,True
icon,15,-0.02,True
ethnic chill,15,-0.02,True
dance rock,15,-0.02,True
spring,15,-0.02,True
1993,15,-0.02,True
feelgood,15,-0.02,True
fifties,15,-0.02,True
clasica,15,-0.02,True
brooke fraser,15,-0.02,True
spiritual,15,-0.02,True
40s,15,-0.02,True
alternative pop,15,-0.02,True
bobbi,15,-0.02,True
fav tracks,15,-0.02,True
songs diana sang on x factor,15,-0.02,True
traditional country,15,-0.02,True
rio,15,-0.02,True
donna,15,-0.02,True
1990's,15,-0.02,True
cars,15,-0.02,True
catchy as hell,15,-0.02,True
euro 90s,15,-0.02,True
coldplay,15,-0.02,True
muse,15,-0.02,True
j-music,15,-0.02,True
rock 'n' roll,15,-0.02,True
tech house,15,-0.02,True
btvs,15,-0.02,True
originals,15,-0.02,True
blissrock,15,-0.02,True
time,15,-0.02,True
seattle,15,-0.02,True
orgasm,15,-0.02,True
keep ya calm,15,-0.02,True
1986 songs,15,-0.02,True
tracks i want to see on lastfm,14,-0.03,True
dance party,14,-0.03,True
ragga,14,-0.03,True
pop princess,14,-0.03,True
defiant,14,-0.03,True
shit,14,-0.03,True
pretty,14,-0.03,True
covers that are actually good,14,-0.03,True
quran,14,-0.03,True
eargasm,14,-0.03,True
full-on,14,-0.03,True
vocalist,14,-0.03,True
finger snapping,14,-0.03,True
lips songs,14,-0.03,True
sertanejo,14,-0.03,True
sleaze rock,14,-0.03,True
unreleased,14,-0.03,True
danceable,14,-0.03,True
must have,14,-0.03,True
soothing,14,-0.03,True
oshare kei,14,-0.03,True
post metal,14,-0.03,True
classical guitar,14,-0.03,True
etheric,14,-0.03,True
50's,14,-0.03,True
chile,14,-0.03,True
fail,14,-0.03,True
oni pout,14,-0.03,True
brit-pop,14,-0.03,True
electroclash ingredients,14,-0.03,True
kick ass,14,-0.03,True
grave stompers,14,-0.03,True
songs i can actually listen to on repeat,14,-0.03,True
noisecore,14,-0.03,True
punk pop,14,-0.03,True
lag,14,-0.03,True
the fact that this is the name of a band makes me want to check their music out even though i do not care much for indie pop,14,-0.03,True
to write love on my arms,14,-0.03,True
perfect lyrics,14,-0.03,True
modern rock,14,-0.03,True
hard rock - metal,14,-0.03,True
i listened to it over and over again,14,-0.03,True
favorite albums,14,-0.03,True
synth wave,14,-0.03,True
infatuation,14,-0.03,True
boys names,14,-0.03,True
breakup music,14,-0.03,True
eminem,14,-0.03,True
street punk,14,-0.03,True
wistful,14,-0.03,True
50s rock revival,14,-0.03,True
anthemic,14,-0.03,True
i buy singles for b-sides like this,14,-0.03,True
i fucking love this song,14,-0.03,True
bandas venezolanas,14,-0.03,True
musical genres,14,-0.03,True
skinhead reggae,14,-0.03,True
1989,14,-0.03,True
space,14,-0.03,True
chanson,14,-0.03,True
just could not get any better,14,-0.03,True
fav song,14,-0.03,True
axe,14,-0.03,True
but the party dont stop,14,-0.03,True
roy,14,-0.03,True
intense,14,-0.03,True
1987,14,-0.03,True
drug music,13,-0.04,True
mistagged artist,13,-0.04,True
eletronic,13,-0.04,True
big band,13,-0.04,True
jangle pop,13,-0.04,True
avantgarde,13,-0.04,True
devrim,13,-0.04,True
progressive deathcore,13,-0.04,True
war,13,-0.04,True
dance dance dance,13,-0.04,True
dance-punk,13,-0.04,True
winter,13,-0.04,True
my 500 essential songs,13,-0.04,True
tiger,13,-0.04,True
my loving,13,-0.04,True
jam,13,-0.04,True
good music,13,-0.04,True
the fucking best,13,-0.04,True
raw black metal,13,-0.04,True
taylor swift,13,-0.04,True
officially shit,13,-0.04,True
songs i never get sick of,13,-0.04,True
1979 songs,13,-0.04,True
smooth night driving,13,-0.04,True
scrubs,13,-0.04,True
electro-pop,13,-0.04,True
soon to be classic,13,-0.04,True
awesome guitar jams,13,-0.04,True
scifi,13,-0.04,True
awsome,13,-0.04,True
this light,13,-0.04,True
talented,13,-0.04,True
pop metal,13,-0.04,True
heart,13,-0.04,True
indian,13,-0.04,True
for days when i am particularly angry with you,13,-0.04,True
doo wop,13,-0.04,True
heavy rock,13,-0.04,True
ohm sweet ohm,13,-0.04,True
movie songs,13,-0.04,True
rb,13,-0.04,True
berber,13,-0.04,True
syncretic,13,-0.04,True
dance pop,13,-0.04,True
ramonescore,13,-0.04,True
nejlepsi,13,-0.04,True
my own private sunshine,13,-0.04,True
movie score composers,13,-0.04,True
great songs,13,-0.04,True
groovy,13,-0.04,True
childhood memories,13,-0.04,True
valentines day,13,-0.04,True
club classics,13,-0.04,True
stoner,13,-0.04,True
mashup,13,-0.04,True
kabyle,13,-0.04,True
russian pop,13,-0.04,True
moshcore,13,-0.04,True
marrakech,12,-0.04,True
party time,12,-0.04,True
broadway,12,-0.04,True
west coast,12,-0.04,True
reggaeton,12,-0.04,True
detroit,12,-0.04,True
unforgettable,12,-0.04,True
pop music,12,-0.04,True
beach music,12,-0.04,True
best songs of 1900 to 1950,12,-0.04,True
killer riffing,12,-0.04,True
asian pop,12,-0.04,True
american underground,12,-0.04,True
derd,12,-0.04,True
best of 80s,12,-0.04,True
1940s,12,-0.04,True
dramatic,12,-0.04,True
shock rock,12,-0.04,True
personal,12,-0.04,True
hilarious,12,-0.04,True
essential instrumental versions,12,-0.04,True
indie-romantic,12,-0.04,True
soulful house,12,-0.04,True
linda,12,-0.04,True
ashley tisdale,12,-0.04,True
progressive metalcore,12,-0.04,True
folk - folkrock - altcountry,12,-0.04,True
twee pop,12,-0.04,True
mix,12,-0.04,True
cute but slightly sinister,12,-0.04,True
need to see live,12,-0.04,True
darkside,12,-0.04,True
girl name songs,12,-0.04,True
depressive,12,-0.04,True
deutschrock,12,-0.04,True
epic metal,12,-0.04,True
laxative,12,-0.04,True
bu grubu hic duymamistim,12,-0.04,True
new york punk,12,-0.04,True
futurepop anthem,12,-0.04,True
cryptofa,12,-0.04,True
chris brown,12,-0.04,True
group,12,-0.04,True
malaysia idol,12,-0.04,True
drum,12,-0.04,True
romance,12,-0.04,True
tianguiscore,12,-0.04,True
songwriter,12,-0.04,True
70,12,-0.04,True
to sing,12,-0.04,True
italia,12,-0.04,True
r'n'b,12,-0.04,True
none,12,-0.04,True
hans,12,-0.04,True
babs,12,-0.04,True
beautiful female vocalist,12,-0.04,True
we should be together,12,-0.04,True
powerfull voices,12,-0.04,True
garth,12,-0.04,True
fuck u bitch,12,-0.04,True
david bowie,12,-0.04,True
angelic,12,-0.04,True
meditative,12,-0.04,True
argentina,12,-0.04,True
brings out the kid in me,12,-0.04,True
chick music,12,-0.04,True
makes me happy,12,-0.04,True
energy,12,-0.04,True
1963,12,-0.04,True
los angeles,12,-0.04,True
feel good,12,-0.04,True
free,12,-0.04,True
exhilarating,12,-0.04,True
calming,12,-0.04,True
female vocalists i like,12,-0.04,True
garden state soundtrack,12,-0.04,True
canada,12,-0.04,True
super,12,-0.04,True
all time favorites,11,-0.05,True
six feet under soundtrack,11,-0.05,True
80s new wave,11,-0.05,True
xcause,11,-0.05,True
questions,11,-0.05,True
songs to listen to on a sunny day,11,-0.05,True
thrash till death,11,-0.05,True
wu-tang,11,-0.05,True
pure aural sex,11,-0.05,True
one of their best,11,-0.05,True
hidden gem,11,-0.05,True
deep-electro,11,-0.05,True
ilahi,11,-0.05,True
so gossip girl,11,-0.05,True
knarziges klickgefrickel,11,-0.05,True
setentas,11,-0.05,True
whitenoize,11,-0.05,True
setenta,11,-0.05,True
the cure,11,-0.05,True
jungle,11,-0.05,True
belgian,11,-0.05,True
80s awesome,11,-0.05,True
songs i sing in the shower,11,-0.05,True
breakup songs,11,-0.05,True
i love 80s,11,-0.05,True
aman tanrim,11,-0.05,True
best songs of music i already own,11,-0.05,True
chill witch,11,-0.05,True
australian rock,11,-0.05,True
dance with somebody,11,-0.05,True
north africa,11,-0.05,True
taking over my mind,11,-0.05,True
stand out be proud,11,-0.05,True
my childhood,11,-0.05,True
trevor horn,11,-0.05,True
her best,11,-0.05,True
great riff,11,-0.05,True
worth a second look,11,-0.05,True
diy,11,-0.05,True
christian metal,11,-0.05,True
clint,11,-0.05,True
simon,11,-0.05,True
softspoken,11,-0.05,True
wca,11,-0.05,True
classic blues,11,-0.05,True
coffeeshop,11,-0.05,True
the best songs of the world,11,-0.05,True
8bit,11,-0.05,True
aphex twin,11,-0.05,True
disney girl,11,-0.05,True
band,11,-0.05,True
move your body,11,-0.05,True
marissa cooper,11,-0.05,True
science,11,-0.05,True
oriental,11,-0.05,True
pop bitch,11,-0.05,True
vocal jazz,11,-0.05,True
just good music,11,-0.05,True
legendary,11,-0.05,True
mythos,11,-0.05,True
god,11,-0.05,True
ska revival,11,-0.05,True
rabat,11,-0.05,True
psybient,11,-0.05,True
favorite tracks,11,-0.05,True
oran,11,-0.05,True
i was fighting with myself not to listen to it but i lost,11,-0.05,True
songs for sssi,11,-0.05,True
megasound,11,-0.05,True
algeria,11,-0.05,True
the worst thing ever to happen to music,11,-0.05,True
tanger,11,-0.05,True
suicidal black metal,11,-0.05,True
world groove,11,-0.05,True
makes me smile,11,-0.05,True
so beautiful i could seriously cry,11,-0.05,True
show woman,11,-0.05,True
skream out loud,11,-0.05,True
great intro,11,-0.05,True
heard on 30 jul 06 downtempo sampler radio,11,-0.05,True
post-electroclash,11,-0.05,True
extreme metal,11,-0.05,True
weirdness,11,-0.05,True
metallica,11,-0.05,True
erotic,11,-0.05,True
spain,11,-0.05,True
riot boii,11,-0.05,True
technical deathcore,11,-0.05,True
jay-z,11,-0.05,True
techno pop,11,-0.05,True
weird,11,-0.05,True
leeds,11,-0.05,True
killer drums,11,-0.05,True
folk punk,11,-0.05,True
oi,11,-0.05,True
electric,11,-0.05,True
bluegrass,11,-0.05,True
michael jackson,10,-0.05,True
lebanese,10,-0.05,True
rahmanin bulbulleri,10,-0.05,True
uk hip hop,10,-0.05,True
cuerdas,10,-0.05,True
apocalyptic,10,-0.05,True
precious,10,-0.05,True
backstage rock shop artist,10,-0.05,True
neo-pop,10,-0.05,True
flute,10,-0.05,True
popstars,10,-0.05,True
old skool,10,-0.05,True
rocker chick,10,-0.05,True
1983,10,-0.05,True
legal,10,-0.05,True
outsiders,10,-0.05,True
violence,10,-0.05,True
bitch song,10,-0.05,True
chinese,10,-0.05,True
finland,10,-0.05,True
headphones,10,-0.05,True
romantic rock,10,-0.05,True
cool jazz,10,-0.05,True
modern-classic,10,-0.05,True
fierce,10,-0.05,True
songs to feel happy to,10,-0.05,True
sex rock,10,-0.05,True
tag your songs properly,10,-0.05,True
post electroclash,10,-0.05,True
trash metal,10,-0.05,True
bubblegum,10,-0.05,True
italo disco,10,-0.05,True
gorgeous,10,-0.05,True
instrumental rock,10,-0.05,True
christian music,10,-0.05,True
italiana,10,-0.05,True
rock porto alegre,10,-0.05,True
please let me lick you,10,-0.05,True
i saw them live,10,-0.05,True
overrated,10,-0.05,True
best of 2008,10,-0.05,True
could be mistaken for sth else,10,-0.05,True
scandinavian,10,-0.05,True
2 meter sessies,10,-0.05,True
aggrotech,10,-0.05,True
live music archive,10,-0.05,True
hard-heavy rock,10,-0.05,True
beatdown hardcore,10,-0.05,True
orgasmic,10,-0.05,True
buenisisimisima,10,-0.05,True
shakira,10,-0.05,True
idol,10,-0.05,True
liverpool,10,-0.05,True
percussion,10,-0.05,True
myfavorites-singers,10,-0.05,True
fav male singers,10,-0.05,True
electro rock,10,-0.05,True
best unknown bands tracks to be observed,10,-0.05,True
symphonic rock,10,-0.05,True
whimsical,10,-0.05,True
stones throw,10,-0.05,True
no genre can describe,10,-0.05,True
bond,10,-0.05,True
welsh,10,-0.05,True
90s rock,10,-0.05,True
brings back memories,10,-0.05,True
fucking epic,10,-0.05,True
rock-pop,10,-0.05,True
letmelikeit,10,-0.05,True
morr music,10,-0.05,True
interesting,10,-0.05,True
idols,10,-0.05,True
radiohead,10,-0.05,True
soft,10,-0.05,True
amor,10,-0.05,True
stoner metal,10,-0.05,True
80s rock,10,-0.05,True
alger,10,-0.05,True
sousse,10,-0.05,True
breaks,10,-0.05,True
bittersweet pop,10,-0.05,True
rolling stones top 500,10,-0.05,True
love this song,10,-0.05,True
quod me nutrit me destruit,10,-0.05,True
melancolia,10,-0.05,True
roma,10,-0.05,True
goregrind,10,-0.05,True
death-thrash metal,10,-0.05,True
instrumentals,10,-0.05,True
d-beat,10,-0.05,True
songs that make you want to sing along,9,-0.06,True
dark wave,9,-0.06,True
autechre,9,-0.06,True
eastern europe rock,9,-0.06,True
just some guy,9,-0.06,True
gorgeousity,9,-0.06,True
hot rockin girl,9,-0.06,True
west yorkshire,9,-0.06,True
nyc,9,-0.06,True
books,9,-0.06,True
field recordings,9,-0.06,True
veronica mars,9,-0.06,True
west african,9,-0.06,True
finale montage,9,-0.06,True
king of pop,9,-0.06,True
italian rock,9,-0.06,True
amazing vocal,9,-0.06,True
microsound,9,-0.06,True
make me feel better,9,-0.06,True
rock'n'roll,9,-0.06,True
multiculti,9,-0.06,True
cover songs,9,-0.06,True
music for tossing furniture around,9,-0.06,True
maghreb,9,-0.06,True
love metal,9,-0.06,True
songs that you wanna listen to over and over again,9,-0.06,True
groovesuspects,9,-0.06,True
new romantic songs,9,-0.06,True
best band ever,9,-0.06,True
humour,9,-0.06,True
soundscape,9,-0.06,True
more plays please,9,-0.06,True
christian metalcore,9,-0.06,True
portugues,9,-0.06,True
music to cry,9,-0.06,True
drum machine,9,-0.06,True
makes you wanna dance all around your room,9,-0.06,True
bay area,9,-0.06,True
dance punk,9,-0.06,True
world pop,9,-0.06,True
jazz sax,9,-0.06,True
maghrebi,9,-0.06,True
quiet walk,9,-0.06,True
gay icons,9,-0.06,True
mexican pop,9,-0.06,True
i wish i could make a video for this,9,-0.06,True
newbreed,9,-0.06,True
american metal,9,-0.06,True
70ss,9,-0.06,True
alternative hip-hop,9,-0.06,True
muslim,9,-0.06,True
death trash grindcore metal,9,-0.06,True
new zealand rock,9,-0.06,True
neo-psychedelia,9,-0.06,True
hilary duff,9,-0.06,True
featuring,9,-0.06,True
lungbutter,9,-0.06,True
light,9,-0.06,True
ska rocksteady,9,-0.06,True
black eyed peas,9,-0.06,True
magic,9,-0.06,True
hang on,9,-0.06,True
garage revival,9,-0.06,True
live recording,9,-0.06,True
music from the oc,9,-0.06,True
anointed,9,-0.06,True
1998,9,-0.06,True
afrobeat,9,-0.06,True
mellow rock,9,-0.06,True
beautiful lyrics,9,-0.06,True
jao bejbe,9,-0.06,True
hc,9,-0.06,True
wicked,9,-0.06,True
new wave of british heavy metal,9,-0.06,True
lily,9,-0.06,True
relaxing muscles,9,-0.06,True
famous persons,9,-0.06,True
favorite band,9,-0.06,True
classical crossover,9,-0.06,True
cabaret,9,-0.06,True
game soundtrack,9,-0.06,True
living legend,9,-0.06,True
winnipeg,9,-0.06,True
porque te vas,9,-0.06,True
makes me smile like an idiot,9,-0.06,True
classic house,9,-0.06,True
80er,9,-0.06,True
wonky,9,-0.06,True
spanish pop,9,-0.06,True
celine dion,9,-0.06,True
sheffield,9,-0.06,True
beautiful voice,9,-0.06,True
soulful,9,-0.06,True
hillbilly,9,-0.06,True
cigarettes,9,-0.06,True
thick as fuck,9,-0.06,True
avril lavigne,9,-0.06,True
atmospheric black metal,9,-0.06,True
pop/rock,9,-0.06,True
